ASO,Dose,treatment,Sample Name,Target Name,CT,Undetermined?
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,cf2223,30.92,
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,cf2223,30.647,
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,cf2223,32.483,
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,cf2223,28.952,
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,29.503,
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,30.874,
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,31.161,
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,30.247,
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,30.106,
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,30.949,
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,30.971,
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,31.465,
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,30.509,
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,21.129,
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,21.104,
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,21.07,
NT,0,NT,exp19-24,rpl32,20.951,
NT,0,NT,exp19-24,rpl32,20.985,
NT,0,NT,exp19-24,rpl32,20.935,
NT,0,NT,exp19-24,rpl32,21.538,
NT,0,NT,exp19-24,rpl32,21.533,
NT,0,NT,exp19-24,rpl32,21.184,
