ASO,Dose,treatment,Sample Name,Target Name,CT,Undetermined?
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-26,cf2223,30.19,CT
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-26,cf2223,30.248,CT
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-26,cf2223,28.675,CT
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-26,cf2223,29.18,CT
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-26,cf2223,26.778,CT
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-26,cf2223,26.771,CT
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-26,cf2223,27.374,CT
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-26,cf2223,27.377,CT
NT,0,NT,exp19-26,rpl32,20.895,CT
NT,0,NT,exp19-26,rpl32,20.827,CT
NT,0,NT,exp19-26,rpl32,20.503,CT
NT,0,NT,exp19-26,rpl32,20.372,CT
NT,0,NT,exp19-26,rpl32,20.845,CT
NT,0,NT,exp19-26,rpl32,20.897,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,rpl32,20.629,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,rpl32,20.53,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,rpl32,20.774,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,rpl32,20.594,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,rpl32,20.567,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,rpl32,20.576,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,rpl32,20.794,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,rpl32,20.78,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,rpl32,20.449,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,rpl32,20.403,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,rpl32,20.624,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,rpl32,20.56,CT
CHX,0,CHX,exp19-26,rpl32,20.263,CT
CHX,0,CHX,exp19-26,rpl32,20.258,CT
CHX,0,CHX,exp19-26,rpl32,20.566,CT
CHX,0,CHX,exp19-26,rpl32,20.591,CT
CHX,0,CHX,exp19-26,rpl32,20.76,CT
CHX,0,CHX,exp19-26,rpl32,20.674,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,rpl32,21.136,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,rpl32,21.156,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,rpl32,20.705,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,rpl32,20.705,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,rpl32,20.997,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,rpl32,21.108,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,rpl32,20.833,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,rpl32,20.796,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,rpl32,20.822,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,rpl32,20.865,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,rpl32,20.391,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,rpl32,20.417,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,rpl32,20.535,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,rpl32,20.566,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,rpl32,20.67,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,rpl32,20.686,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,rpl32,20.768,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,rpl32,20.704,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,rpl32,20.722,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,rpl32,20.775,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,rpl32,21.278,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,rpl32,21.264,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,rpl32,20.8,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,rpl32,20.806,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,rpl32,20.701,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,rpl32,20.666,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,rpl32,20.753,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,rpl32,20.7,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,rpl32,20.85,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,rpl32,20.864,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,rpl32,20.65,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,rpl32,20.604,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,rpl32,20.756,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,rpl32,20.729,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,rpl32,20.478,CT
